seccion;P_kN;paso;phi_1_m;M_kNm
columna_70x70;0,0;154;0,0009240000000000012;409,9342556672857
columna_70x70;0,0;155;0,0009300000000000012;410,8999566060603
columna_70x70;0,0;156;0,0009360000000000012;411,86551510625173
columna_70x70;0,0;157;0,0009420000000000012;412,8309311143896
columna_70x70;0,0;158;0,0009480000000000013;413,79620457710314
columna_70x70;0,0;159;0,0009540000000000013;414,76133544098496
columna_70x70;0,0;160;0,0009600000000000012;415,72632365258943
columna_70x70;0,0;161;0,0009660000000000013;416,69116915843387
columna_70x70;0,0;162;0,0009720000000000012;417,6558719049975
columna_70x70;0,0;163;0,0009780000000000012;418,6204318387242
columna_70x70;0,0;164;0,0009840000000000014;419,5848489060179
columna_70x70;0,0;165;0,0009900000000000013;420,54912305324603
columna_70x70;0,0;166;0,0009960000000000012;421,51325422673966
columna_70x70;0,0;167;0,0010020000000000014;422,4772423727896
columna_70x70;0,0;168;0,0010080000000000013;423,4410874376518
columna_70x70;0,0;169;0,0010140000000000012;424,4047893675424
columna_70x70;0,0;170;0,0010200000000000014;425,3683481086407
columna_70x70;0,0;171;0,0010260000000000013;426,33176360708916
columna_70x70;0,0;172;0,0010320000000000014;427,29503580899035
columna_70x70;0,0;173;0,0010380000000000014;428,25816466041016
columna_70x70;0,0;174;0,0010440000000000015;429,2211501073769
columna_70x70;0,0;175;0,0010500000000000015;430,1839920958806
columna_70x70;0,0;176;0,0010560000000000014;431,14669057187365
columna_70x70;0,0;177;0,0010620000000000013;432,109245481269
columna_70x70;0,0;178;0,0010680000000000015;433,0716567699438
columna_70x70;0,0;179;0,0010740000000000014;434,033924383736
columna_70x70;0,0;180;0,0010800000000000015;434,9960482684453
columna_70x70;0,0;181;0,0010860000000000015;435,95802836983245
columna_70x70;0,0;182;0,0010920000000000014;436,9198646336223
columna_70x70;0,0;183;0,0010980000000000015;437,8815570054994
columna_70x70;0,0;184;0,0011040000000000015;438,8302766165086
columna_70x70;0,0;185;0,0011100000000000016;439,6861102684423
columna_70x70;0,0;186;0,0011160000000000015;440,54183517340323
columna_70x70;0,0;187;0,0011220000000000015;441,3974512924429
columna_70x70;0,0;188;0,0011280000000000014;442,25295858670376
columna_70x70;0,0;189;0,0011340000000000015;443,1083570173022
columna_70x70;0,0;190;0,0011400000000000015;443,9636465453271
columna_70x70;0,0;191;0,0011460000000000016;444,81882713184194
columna_70x70;0,0;192;0,0011520000000000015;445,6738987378852
columna_70x70;0,0;193;0,0011580000000000015;446,52886132446946
columna_70x70;0,0;194;0,0011640000000000016;447,3837148525778
columna_70x70;0,0;195;0,0011700000000000016;448,23845928317036
columna_70x70;0,0;196;0,0011760000000000017;449,09309457718007
columna_70x70;0,0;197;0,0011820000000000016;449,9476206955147
columna_70x70;0,0;198;0,0011880000000000018;450,8020375990541
columna_70x70;0,0;199;0,0011940000000000015;451,6563452486516
columna_70x70;0,0;200;0,0012000000000000016;452,51054360513655
columna_70x70;0,0;201;0,0012060000000000016;453,36463262930994
columna_70x70;0,0;202;0,0012120000000000017;454,21861228194774
columna_70x70;0,0;203;0,0012180000000000016;455,07248252379725
columna_70x70;0,0;204;0,0012240000000000016;455,92624331558244
columna_70x70;0,0;205;0,0012300000000000013;456,77989461799893
columna_70x70;0,0;206;0,0012360000000000012;457,633436391717
columna_70x70;0,0;207;0,0012420000000000011;458,48686859737916
columna_70x70;0,0;208;0,001248000000000001;459,3401911956015
columna_70x70;0,0;209;0,001254000000000001;460,1934041469751
columna_70x70;0,0;210;0,001260000000000001;461,04650741206285
columna_70x70;0,0;211;0,0012660000000000006;461,8995009514019
columna_70x70;0,0;212;0,0012720000000000006;462,75238472550257
columna_70x70;0,0;213;0,0012780000000000005;463,60515869484794
columna_70x70;0,0;214;0,0012840000000000004;464,4578228198957
columna_70x70;0,0;215;0,0012900000000000003;465,31037706107674
