curva;seccion;modelo;punto;P_kN;M_kNm
pm_30x615;30x615;fiber;12;72198,07548527281;18009,075869006476
pm_30x615;30x615;fiber;13;74604,67800144857;12934,877134682303
pm_30x615;30x615;fiber;14;76209,07967889907;9440,741515603995
pm_30x615;30x615;fiber;15;77813,48135634958;5823,529240428468
pm_30x615;30x615;fiber;16;78615,68219507483;3937,115879999468
pm_30x615;30x615;fiber;17;79417,88303380008;1965,4881305462563
pm_30x615;30x615;fiber;18;80220,1;0,0
pm_30x725;30x725;fiber;1;-11413,4;0,0
pm_30x725;30x725;fiber;2;0,0;73921,4629469607
pm_30x725;30x725;fiber;3;9604,266253186714;97751,3807462929
pm_30x725;30x725;fiber;4;19208,532506373427;115930,54015521864
pm_30x725;30x725;fiber;5;28812,798759560137;122187,16133313958
pm_30x725;30x725;fiber;6;38417,065012746854;112727,60534019036
pm_30x725;30x725;fiber;7;48021,331265933564;102539,03666844612
pm_30x725;30x725;fiber;8;57625,597519120274;88215,22869897434
pm_30x725;30x725;fiber;9;67229,86377230698;69087,32784280882
pm_30x725;30x725;fiber;10;76834,13002549371;48119,87665991587
pm_30x725;30x725;fiber;11;81636,26315208706;37218,27011014692
pm_30x725;30x725;fiber;12;86438,39627868042;25791,373569441505
pm_30x725;30x725;fiber;13;89319,67615463643;18576,249087603996
pm_30x725;30x725;fiber;14;91240,52940527377;13548,201208787228
pm_30x725;30x725;fiber;15;93161,38265591112;8357,508691216299
pm_30x725;30x725;fiber;16;94121,80928122978;5675,660534669114
pm_30x725;30x725;fiber;17;95082,23590654846;2876,8082128201577
pm_30x725;30x725;fiber;18;96042,7;0,0
pm_30x890;30x890;fiber;1;-12930,8;0,0
pm_30x890;30x890;fiber;2;0,0;102102,07022206961
pm_30x890;30x890;fiber;3;11581,809305087449;137736,1428575583
pm_30x890;30x890;fiber;4;23163,618610174897;165016,66292949417
pm_30x890;30x890;fiber;5;34745,42791526234;175997,81271829252
pm_30x890;30x890;fiber;6;46327,237220349794;163345,82997677667
pm_30x890;30x890;fiber;7;57909,04652543724;149305,6410593029
pm_30x890;30x890;fiber;8;69490,85583052468;128771,32468141548
