id,piso,x_cm,y_cm,z_cm,Fx_kN,Fy_kN,Fz_kN,Mx_kNm,My_kNm,Mz_kNm
107,Piso 4,-2500,0,1424.0,-0.0,0.0,64.40406,28.320312,0.0,0.0
108,Piso 4,-2500,725.0,1424.0,0.0,0.0,138.131544,6.445312,0.0,0.0
109,Piso 4,-2500,1615.0,1424.0,-0.0,0.0,73.727484,-34.765625,0.0,-0.0
110,Piso 4,-3000,-412.0,1424.0,-0.0,0.0,155.673728,105.980747,-13.920935,0.0
114,Piso 4,-3500,0,1424.0,-0.0,0.0,64.40406,28.320312,0.0,0.0
115,Piso 4,-3500,725.0,1424.0,0.0,0.0,138.131544,6.445312,0.0,0.0
116,Piso 4,-3500,1615.0,1424.0,-0.0,0.0,73.727484,-34.765625,0.0,-0.0
123,Piso 4,-4755.0,0,1424.0,-0.0,0.0,20.48328,0.0,0.0,0.0
124,Piso 4,-4755.0,725.0,1424.0,0.0,0.0,45.628272,0.0,0.0,0.0
125,Piso 4,-4755.0,1615.0,1424.0,-0.0,0.0,25.144992,0.0,0.0,-0.0
126,Piso 4,-5000,0,1424.0,-0.0,-0.0,78.826154,3.602235,-27.090487,-0.0
127,Piso 4,-5000,725.0,1424.0,0.0,-0.0,133.937768,2.355427,-41.49082,-0.0
128,Piso 4,-5000,1615.0,1424.0,-0.0,-0.0,88.951181,1.470314,-29.769034,-0.0
135,Piso 4,-1500,0,1780.0,0.0,0.0,64.40406,28.320312,0.0,0.0
136,Piso 4,-1500,725.0,1780.0,0.0,0.0,138.131544,6.445312,0.0,-0.0
137,Piso 4,-1500,1615.0,1780.0,-0.0,0.0,73.727484,-34.765625,0.0,-0.0
138,Piso 4,-2000,-412.0,1780.0,-0.0,-0.0,155.874358,113.625093,14.146198,0.0
142,Piso 4,-2500,0,1780.0,0.0,0.0,64.40406,28.320312,0.0,0.0
143,Piso 4,-2500,725.0,1780.0,0.0,0.0,138.131544,6.445312,0.0,-0.0
144,Piso 4,-2500,1615.0,1780.0,-0.0,0.0,73.727484,-34.765625,0.0,-0.0
145,Piso 4,-3000,-412.0,1780.0,-0.0,0.0,155.285463,112.278251,-14.238842,0.0
149,Piso 4,-3500,0,1780.0,0.0,0.0,64.40406,28.320312,0.0,0.0
150,Piso 4,-3500,725.0,1780.0,0.0,0.0,138.131544,6.445312,0.0,-0.0
151,Piso 4,-3500,1615.0,1780.0,-0.0,0.0,73.727484,-34.765625,0.0,-0.0
158,Piso 4,-4755.0,0,1780.0,0.0,0.0,20.48328,0.0,0.0,0.0
159,Piso 4,-4755.0,725.0,1780.0,0.0,0.0,45.628272,0.0,0.0,-0.0
160,Piso 4,-4755.0,1615.0,1780.0,-0.0,0.0,25.144992,0.0,0.0,-0.0
161,Piso 4,-5000,0,1780.0,0.0,0.0,78.649108,4.796319,-28.84955,0.0
162,Piso 4,-5000,725.0,1780.0,0.0,0.0,133.813172,1.907425,-44.572084,0.0
163,Piso 4,-5000,1615.0,1780.0,-0.0,0.0,88.824232,-1.521553,-31.861613,0.0
166,Subterraneo,80.0,1615.0,0,0.717507,0.3632,20.535077,-0.646496,1.277162,-0.013772
167,Piso 1,60.0,0,356.0,0.0,0.0,102.570087,0.0,-76.388437,0.0
168,Piso 1,60.0,725.0,356.0,0.0,0.0,135.987275,0.0,-133.197656,0.0
169,Piso 1,80.0,1615.0,356.0,8.568635,-0.398781,670.20341,-0.102064,-46.376087,0.026074
170,Piso 2,60.0,0,712.0,0.0,-0.0,104.913384,1.654232,-88.687845,-0.0
171,Piso 2,60.0,725.0,712.0,0.0,-0.0,138.73852,0.546508,-149.217769,-0.0
173,Piso 3,60.0,0,1068.0,0.0,-0.0,106.64939,2.283755,-97.820158,-0.0
174,Piso 3,60.0,725.0,1068.0,0.0,-0.0,141.611993,0.973821,-163.967739,-0.0
176,Piso 4,60.0,0,1424.0,0.0,-0.0,107.894944,2.450013,-104.183141,-0.0
177,Piso 4,60.0,725.0,1424.0,0.0,-0.0,143.343972,1.22355,-173.17576,-0.0
179,Piso 4,60.0,0,1780.0,0.0,-0.0,107.833652,4.23333,-105.000552,-0.0
180,Piso 4,60.0,725.0,1780.0,0.0,-0.0,171.816047,1.382677,-225.255732,-0.0
182,Subterraneo,1080.0,0,0,0.515009,0.237814,20.535077,-0.423309,0.916715,-0.013772
183,Subterraneo,1080.0,725.0,0,0.605913,0.237814,20.535077,-0.423309,1.078526,-0.013772
184,Subterraneo,1080.0,1615.0,0,0.717507,0.237814,20.535077,-0.423309,1.277162,-0.013772
185,Piso 1,1080.0,0,356.0,1.407097,5.031003,1520.752083,22.08043,5.727133,0.026074
186,Piso 1,1080.0,725.0,356.0,7.425277,1.011051,2340.603081,4.975772,-30.10057,0.026074
187,Piso 1,1080.0,1615.0,356.0,5.521347,-5.920917,1632.956021,-28.009229,-32.141577,0.026074
200,Subterraneo,2080.0,0,0,0.515009,0.112428,20.535077,-0.200122,0.916715,-0.013772
201,Subterraneo,2080.0,725.0,0,0.605913,0.112428,20.535077,-0.200122,1.078526,-0.013772
202,Subterraneo,2080.0,1615.0,0,0.717507,0.112428,20.535077,-0.200122,1.277162,-0.013772
203,Piso 1,2080.0,0,356.0,-2.955784,4.128236,1478.94224,17.262169,5.659212,0.026074
204,Piso 1,2080.0,725.0,356.0,-13.216459,1.049548,2113.877103,3.825702,88.802485,0.026074
205,Piso 1,2080.0,1615.0,356.0,-5.389347,-4.525814,1632.055822,-21.754248,18.169591,0.026074
218,Subterraneo,2830.0,725.0,0,0.605913,0.018389,20.535077,-0.032732,1.078526,-0.013772
219,Piso 1,2830.0,725.0,356.0,-9.748041,1.796848,1275.848004,6.282063,62.383449,0.026074
231,Piso 1,3205.0,1615.0,356.0,0.0,-0.0,105.070753,0.0,77.816162,0.0
232,Piso 2,3205.0,1615.0,712.0,0.0,-0.0,106.456726,-0.947128,86.836808,0.0
233,Piso 3,3205.0,1615.0,1068.0,0.0,-0.0,107.942552,-0.534932,95.259636,0.0
234,Piso 4,3205.0,1615.0,1424.0,0.0,0.0,108.958112,-0.085301,100.946773,-0.0
235,Piso 4,3205.0,1615.0,1780.0,0.0,-0.0,108.694899,-1.911924,100.864579,0.0
309,Piso 1,3205.0,0,356.0,0.0,-0.0,99.269972,0.0,66.939697,0.0
310,Piso 2,3205.0,0,712.0,0.0,-0.0,100.726563,1.214983,75.865058,0.0
311,Piso 3,3205.0,0,1068.0,0.0,-0.0,101.996458,1.723286,83.208853,0.0
312,Piso 4,3205.0,0,1424.0,0.0,0.0,102.946881,1.871015,88.473395,-0.0
313,Piso 4,3205.0,0,1780.0,0.0,-0.0,102.674789,3.132822,88.271784,0.0
398,Piso 1,3205.0,-109.0,356.0,0.0,0.0,151.320951,40.286865,0.0,0.0
399,Piso 1,3205.0,1724.5,356.0,0.0,0.0,151.320951,-40.286865,0.0,0.0
400,Piso 2,3205.0,-109.0,712.0,0.0,0.0,151.320951,40.286865,0.0,-0.0
401,Piso 2,3205.0,1724.5,712.0,-0.0,0.0,151.320951,-40.286865,0.0,-0.0
402,Piso 3,3205.0,-109.0,1068.0,-0.0,0.0,151.320951,40.286865,0.0,0.0
403,Piso 3,3205.0,1724.5,1068.0,0.0,0.0,151.320951,-40.286865,0.0,0.0
404,Piso 4,3205.0,-109.0,1424.0,0.0,0.0,151.320951,40.286865,0.0,0.0
405,Piso 4,3205.0,1724.5,1424.0,0.0,0.0,151.320951,-40.286865,0.0,0.0
406,Piso 4,3205.0,-109.0,1780.0,0.0,0.0,151.320951,40.286865,0.0,0.0
407,Piso 4,3205.0,1724.5,1780.0,0.0,0.0,151.320951,-40.286865,0.0,0.0
408,Piso 1,580.0,0,356.0,-0.0,0.0,65.36031,29.475781,0.0,0.0
409,Piso 1,1580.0,0,356.0,-0.0,0.0,64.40406,28.320312,0.0,0.0
410,Piso 1,2455.0,0,356.0,-0.0,0.0,60.467626,23.563789,0.0,0.0
411,Piso 1,2830.0,0,356.0,-0.0,0.0,60.467626,23.563789,0.0,0.0
412,Piso 1,580.0,725.0,356.0,0.0,0.0,151.916837,24.319591,0.0,0.0
413,Piso 1,1580.0,725.0,356.0,0.0,0.0,138.131544,6.445312,0.0,0.0
414,Piso 1,2455.0,725.0,356.0,0.0,0.0,130.533001,5.769708,0.0,0.0
415,Piso 1,580.0,1615.0,356.0,0.0,0.0,86.556527,-53.795372,0.0,0.0
416,Piso 1,1580.0,1615.0,356.0,0.0,0.0,73.727484,-34.765625,0.0,0.0
417,Piso 1,2455.0,1615.0,356.0,0.0,0.0,70.065375,-29.333496,0.0,0.0
418,Piso 1,2830.0,1615.0,356.0,0.0,0.0,71.669672,-31.713203,0.0,0.0
419,Piso 2,580.0,0,712.0,0.0,0.0,65.36031,29.475781,0.0,-0.0
420,Piso 2,580.0,725.0,712.0,-0.0,0.0,151.916837,24.319591,0.0,-0.0
421,Piso 2,580.0,1615.0,712.0,0.0,0.0,86.556527,-53.795372,0.0,0.0
422,Piso 2,1580.0,0,712.0,0.0,0.0,64.40406,28.320312,0.0,-0.0
423,Piso 2,1580.0,725.0,712.0,-0.0,0.0,138.131544,6.445312,0.0,-0.0
424,Piso 2,1580.0,1615.0,712.0,0.0,0.0,73.727484,-34.765625,0.0,0.0
425,Piso 2,2455.0,0,712.0,0.0,0.0,60.467626,23.563789,0.0,-0.0
426,Piso 2,2455.0,725.0,712.0,-0.0,0.0,130.533001,5.769708,0.0,-0.0
427,Piso 2,2455.0,1615.0,712.0,0.0,0.0,70.065375,-29.333496,0.0,0.0
428,Piso 2,2830.0,0,712.0,0.0,0.0,65.614665,43.099172,3.747849,-0.0
429,Piso 2,2830.0,1615.0,712.0,0.0,0.0,75.326283,-47.270414,3.053023,0.0
430,Piso 3,580.0,0,1068.0,0.0,0.0,65.36031,29.475781,0.0,-0.0
431,Piso 3,580.0,725.0,1068.0,-0.0,0.0,151.916837,24.319591,0.0,0.0
432,Piso 3,580.0,1615.0,1068.0,0.0,0.0,86.556527,-53.795372,0.0,0.0
433,Piso 3,1580.0,0,1068.0,0.0,0.0,64.40406,28.320312,0.0,-0.0
434,Piso 3,1580.0,725.0,1068.0,-0.0,0.0,138.131544,6.445312,0.0,0.0
435,Piso 3,1580.0,1615.0,1068.0,0.0,0.0,73.727484,-34.765625,0.0,0.0
436,Piso 3,2455.0,0,1068.0,0.0,0.0,60.467626,23.563789,0.0,-0.0
437,Piso 3,2455.0,725.0,1068.0,-0.0,0.0,130.533001,5.769708,0.0,0.0
438,Piso 3,2455.0,1615.0,1068.0,0.0,0.0,70.065375,-29.333496,0.0,0.0
439,Piso 3,2830.0,0,1068.0,0.0,0.0,69.40099,57.497042,3.727107,-0.0
440,Piso 3,2830.0,1615.0,1068.0,0.0,0.0,78.04313,-58.812607,3.036127,0.0
441,Piso 4,580.0,0,1424.0,-0.0,0.0,65.36031,29.475781,0.0,0.0
442,Piso 4,580.0,725.0,1424.0,0.0,0.0,151.916837,24.319591,0.0,0.0
443,Piso 4,580.0,1615.0,1424.0,-0.0,0.0,86.556527,-53.795372,0.0,-0.0
444,Piso 4,1580.0,0,1424.0,-0.0,0.0,64.40406,28.320312,0.0,0.0
445,Piso 4,1580.0,725.0,1424.0,0.0,0.0,138.131544,6.445312,0.0,0.0
446,Piso 4,1580.0,1615.0,1424.0,-0.0,0.0,73.727484,-34.765625,0.0,-0.0
447,Piso 4,2455.0,0,1424.0,-0.0,0.0,60.467626,23.563789,0.0,0.0
448,Piso 4,2455.0,725.0,1424.0,0.0,0.0,130.533001,5.769708,0.0,0.0
449,Piso 4,2455.0,1615.0,1424.0,-0.0,0.0,70.065375,-29.333496,0.0,-0.0
450,Piso 4,2830.0,0,1424.0,-0.0,0.0,71.945526,67.07088,3.548947,0.0
451,Piso 4,2830.0,1615.0,1424.0,-0.0,0.0,79.767286,-66.200074,2.890996,-0.0
452,Piso 4,580.0,0,1780.0,0.0,0.0,65.36031,29.475781,0.0,0.0
453,Piso 4,580.0,725.0,1780.0,0.0,0.0,140.044044,6.708281,0.0,-0.0
454,Piso 4,580.0,1615.0,1780.0,-0.0,0.0,74.683734,-36.184063,0.0,-0.0
455,Piso 4,1580.0,0,1780.0,0.0,0.0,64.40406,28.320312,0.0,0.0
456,Piso 4,1580.0,725.0,1780.0,0.0,0.0,138.131544,6.445312,0.0,-0.0
457,Piso 4,1580.0,1615.0,1780.0,-0.0,0.0,73.727484,-34.765625,0.0,-0.0
458,Piso 4,2455.0,0,1780.0,0.0,0.0,60.467626,23.563789,0.0,0.0
459,Piso 4,2455.0,725.0,1780.0,0.0,0.0,130.533001,5.769708,0.0,-0.0
460,Piso 4,2455.0,1615.0,1780.0,-0.0,0.0,70.065375,-29.333496,0.0,-0.0
461,Piso 4,2830.0,0,1780.0,0.0,0.0,72.868607,70.918748,6.831031,0.0
462,Piso 4,2830.0,1615.0,1780.0,-0.0,0.0,80.766227,-70.236675,5.564604,-0.0
511,Piso 1,2830.0,1188.5,356.0,0.0,0.0,59.309053,0.0,-1.192822,0.0
512,Piso 1,2830.0,426.5,356.0,0.0,0.0,53.782596,0.0,-4.646858,0.0
513,Piso 1,2455.0,1188.5,356.0,0.0,0.0,28.700269,0.0,-11.315918,0.0
514,Piso 1,2455.0,426.5,356.0,0.0,0.0,23.173812,0.0,-7.861882,0.0
515,Piso 1,3205.0,1188.5,356.0,0.0,-0.0,30.608784,0.0,12.50874,0.0
516,Piso 1,3205.0,426.5,356.0,0.0,-0.0,30.608784,0.0,12.50874,0.0
517,Piso 2,2830.0,1188.5,712.0,0.0,-0.0,59.309053,0.0,-1.192822,-0.0
518,Piso 2,2830.0,426.5,712.0,0.0,-0.0,53.782596,0.0,-4.646858,-0.0
519,Piso 2,2455.0,1188.5,712.0,0.0,0.0,28.700269,0.0,-11.315918,0.0
520,Piso 2,2455.0,426.5,712.0,0.0,0.0,23.173812,0.0,-7.861882,0.0
521,Piso 2,3205.0,1188.5,712.0,0.0,0.0,30.608784,0.0,12.50874,-0.0
522,Piso 2,3205.0,426.5,712.0,0.0,0.0,30.608784,0.0,12.50874,-0.0
523,Piso 3,2830.0,1188.5,1068.0,0.0,0.0,59.309053,0.0,-1.192822,0.0
524,Piso 3,2830.0,426.5,1068.0,0.0,0.0,53.782596,0.0,-4.646858,0.0
525,Piso 3,2455.0,1188.5,1068.0,0.0,0.0,28.700269,0.0,-11.315918,0.0
526,Piso 3,2455.0,426.5,1068.0,0.0,0.0,23.173812,0.0,-7.861882,0.0
527,Piso 3,3205.0,1188.5,1068.0,0.0,-0.0,30.608784,0.0,12.50874,0.0
528,Piso 3,3205.0,426.5,1068.0,0.0,-0.0,30.608784,0.0,12.50874,0.0
529,Piso 4,2830.0,1188.5,1424.0,0.0,0.0,59.309053,0.0,-1.192822,-0.0
530,Piso 4,2830.0,426.5,1424.0,0.0,0.0,53.782596,0.0,-4.646858,-0.0
531,Piso 4,2455.0,1188.5,1424.0,0.0,-0.0,28.700269,0.0,-11.315918,-0.0
532,Piso 4,2455.0,426.5,1424.0,0.0,-0.0,23.173812,0.0,-7.861882,-0.0
533,Piso 4,3205.0,1188.5,1424.0,0.0,0.0,30.608784,0.0,12.50874,-0.0
534,Piso 4,3205.0,426.5,1424.0,0.0,0.0,30.608784,0.0,12.50874,-0.0
535,Piso 4,2830.0,1188.5,1780.0,0.0,-0.0,59.309053,0.0,-1.192822,0.0
536,Piso 4,2830.0,426.5,1780.0,0.0,-0.0,53.782596,0.0,-4.646858,0.0
537,Piso 4,2455.0,1188.5,1780.0,0.0,0.0,28.700269,0.0,-11.315918,0.0
538,Piso 4,2455.0,426.5,1780.0,0.0,0.0,23.173812,0.0,-7.861882,0.0
539,Piso 4,3205.0,1188.5,1780.0,0.0,0.0,30.608784,0.0,12.50874,-0.0
540,Piso 4,3205.0,426.5,1780.0,0.0,0.0,30.608784,0.0,12.50874,-0.0
9000,Subterraneo,,,,11.378249,-0.075214,765.413556,0.131852,32.585624,-0.852463
9006,Subterraneo,,,,24.860637,0.007337,99.747049,-0.02612,1.225201,-0.043016
9008,Subterraneo,,,,26.006552,-0.14609,99.747049,0.520079,5.304658,0.404353
9010,Subterraneo,,,,29.22852,-0.96887,99.747049,3.449176,16.774864,2.591507
9012,Subterraneo,,,,31.105712,-1.981749,99.747049,7.055027,23.457666,5.302738
9014,Subterraneo,,,,29.005199,-2.070779,99.747049,7.371975,15.979842,5.518617
9016,Subterraneo,,,,20.716281,-0.075347,766.419356,0.132083,50.901358,-0.856857
9022,Subterraneo,,,,27.348366,0.007337,99.747049,-0.02612,10.081514,-0.043016
9024,Subterraneo,,,,23.784389,-0.14609,99.747049,0.520079,-2.606242,0.404353
9026,Subterraneo,,,,23.926253,-0.96887,99.747049,3.449176,-2.101209,2.591507
9028,Subterraneo,,,,20.050289,-1.981749,99.747049,7.055027,-15.899638,5.302738
9030,Subterraneo,,,,19.791468,-2.070779,99.747049,7.371975,-16.821042,5.518617
9032,Subterraneo,,,,112.988754,0.140958,740.939098,-0.279627,308.057633,-7.205267
9038,Subterraneo,,,,63.623006,0.103929,564.924154,-0.206007,159.242155,-2.870888
9044,Subterraneo,,,,7.467336,0.080166,1075.216621,-0.157739,18.685445,-0.336827
9050,Subterraneo,,,,6.775427,0.045677,310.959734,-0.090447,17.148839,-0.321585
9056,Subterraneo,,,,66.715783,0.101757,182.301192,-0.362253,237.508188,-6.557586
9058,Subterraneo,,,,-296.186893,0.006448,266.908612,-0.022953,280.11772,-0.030185
9060,Subterraneo,,,,94.757767,0.322149,364.602384,-0.561919,270.784676,-6.557586
9063,Subterraneo,,,,145.715908,0.124915,223.790429,-0.444697,518.748631,-12.131095
9065,Subterraneo,,,,49.332457,0.064205,154.641701,-0.228571,175.623547,-4.002721
9067,Subterraneo,,,,-295.389001,0.006448,266.908612,-0.022953,282.958216,-0.030185
9069,Subterraneo,,,,67.358026,-0.265772,182.301192,0.946148,239.794573,5.857562
9071,Subterraneo,,,,104.69178,-0.326258,223.790429,1.161478,372.702738,10.836097
9073,Subterraneo,,,,0.861601,0.032194,207.027101,-0.063498,2.371812,-0.056561
9075,Subterraneo,,,,-38.67875,0.032242,106.837657,-0.114783,57.282375,-0.007543
9077,Subterraneo,,,,0.861601,0.035578,207.027101,-0.070115,2.371812,-0.056561
9079,Subterraneo,,,,-38.410892,-0.069419,106.837657,0.24713,58.23595,0.010998
9083,Subterraneo,,,,-36.745536,-0.3462,106.837657,1.232473,64.164616,0.045179
9087,Subterraneo,,,,-36.130594,-0.710668,106.837657,2.529978,66.353811,0.093028
9091,Subterraneo,,,,-37.231227,-0.714296,106.837657,2.542894,62.435556,0.090328
9095,Subterraneo,,,,4.097213,0.079771,315.8211,-0.157469,10.388974,-0.19601
9097,Subterraneo,,,,-33.602959,0.068681,118.698212,-0.244506,64.355695,0.022547
9099,Subterraneo,,,,4.097213,0.086621,315.8211,-0.170868,10.388974,-0.19601
9101,Subterraneo,,,,-35.515573,-0.148643,118.698212,0.52917,57.546788,-0.060474
9103,Subterraneo,,,,-34.799506,-0.742728,118.698212,2.644113,60.095987,-0.323597
9105,Subterraneo,,,,-36.755978,-1.524605,118.698212,5.427595,53.130946,-0.663617
9107,Subterraneo,,,,-37.322546,-1.532855,118.698212,5.456965,51.113967,-0.674231
