id,tipo,seccion,b_cm,h_cm,A_m2,nodo_i,nodo_j,xi_cm,yi_cm,zi_cm,xj_cm,yj_cm,zj_cm,L_m,Fx_kN,Fy_kN,Fz_kN,Mx_kNm,My_kNm,Mz_kNm
97,column,70x70,70.0,70.0,0.49,88,121,-4500,725.0,1068.0,-4500,725.0,1424.0,3.56,15.604234,-3.759167,470.003001,7.095827,24.768286,0.061203
98,column,70x70,70.0,70.0,0.49,72,106,-2000,1615.0,1068.0,-2000,1615.0,1424.0,3.56,4.659914,-13.214268,688.048409,25.541349,8.580676,0.061203
99,column,70x70,70.0,70.0,0.49,80,113,-3000,1615.0,1068.0,-3000,1615.0,1424.0,3.56,-0.721028,-12.759121,682.119541,24.529804,-1.810624,0.061203
100,column,70x70,70.0,70.0,0.49,86,119,-4000,1615.0,1068.0,-4000,1615.0,1424.0,3.56,18.640931,-12.448252,565.953108,23.917445,34.240696,0.061203
101,column,70x70,70.0,70.0,0.49,89,122,-4500,1615.0,1068.0,-4500,1615.0,1424.0,3.56,10.164219,-8.288897,337.091587,15.977916,15.821716,0.061203
102,column,70x70,70.0,70.0,0.49,104,139,-2000,0,1424.0,-2000,0,1780.0,3.56,0.527598,26.967666,311.416883,-42.066658,2.28729,0.051007
103,column,70x70,70.0,70.0,0.49,111,146,-3000,0,1424.0,-3000,0,1780.0,3.56,3.249775,25.280034,311.700266,-38.578782,5.508106,0.051007
104,column,70x70,70.0,70.0,0.49,117,152,-4000,0,1424.0,-4000,0,1780.0,3.56,19.797501,11.7738,238.831997,-17.708479,31.422441,0.051007
105,column,70x70,70.0,70.0,0.49,120,155,-4500,0,1424.0,-4500,0,1780.0,3.56,16.295579,3.823394,138.053098,-5.545287,26.589307,0.051007
106,column,70x70,70.0,70.0,0.49,105,140,-2000,725.0,1424.0,-2000,725.0,1780.0,3.56,8.263115,-1.664258,485.895283,2.627082,14.514754,0.051007
107,column,70x70,70.0,70.0,0.49,112,147,-3000,725.0,1424.0,-3000,725.0,1780.0,3.56,-1.779949,-2.05392,483.237484,2.964689,-2.124532,0.051007
108,column,70x70,70.0,70.0,0.49,118,153,-4000,725.0,1424.0,-4000,725.0,1780.0,3.56,39.459478,-1.39732,403.671182,2.287291,63.221936,0.051007
109,column,70x70,70.0,70.0,0.49,121,156,-4500,725.0,1424.0,-4500,725.0,1780.0,3.56,26.844058,-3.533731,221.039538,5.817177,44.058135,0.051007
110,column,70x70,70.0,70.0,0.49,106,141,-2000,1615.0,1424.0,-2000,1615.0,1780.0,3.56,5.497013,-19.785906,332.169597,29.235364,8.988416,0.051007
111,column,70x70,70.0,70.0,0.49,113,148,-3000,1615.0,1424.0,-3000,1615.0,1780.0,3.56,-1.411875,-18.794356,330.439998,27.934979,-1.589599,0.051007
112,column,70x70,70.0,70.0,0.49,119,154,-4000,1615.0,1424.0,-4000,1615.0,1780.0,3.56,24.80604,-17.70119,274.513548,26.457243,39.423388,0.051007
113,column,70x70,70.0,70.0,0.49,122,157,-4500,1615.0,1424.0,-4500,1615.0,1780.0,3.56,18.426832,-11.208196,154.856317,16.792678,30.154312,0.051007
114,beam_x,60x80,60.0,80.0,0.48,38,44,-2000,0,712.0,-3000,0,712.0,10.0,0.0,-0.0,44.53125,0.0,74.21875,0.0
115,beam_x,60x80,60.0,80.0,0.48,44,50,-3000,0,712.0,-4000,0,712.0,10.0,0.0,0.0,44.53125,0.0,74.21875,-0.0
116,beam_x,60x80,60.0,80.0,0.48,50,53,-4000,0,712.0,-4500,0,712.0,5.0,0.0,-0.0,0.0,0.0,0.0,0.0
117,beam_x,60x80,60.0,80.0,0.48,39,45,-2000,725.0,712.0,-3000,725.0,712.0,10.0,0.0,-0.0,104.53125,0.0,174.21875,0.0
118,beam_x,60x80,60.0,80.0,0.48,45,51,-3000,725.0,712.0,-4000,725.0,712.0,10.0,0.0,0.0,104.53125,0.0,174.21875,-0.0
119,beam_x,60x80,60.0,80.0,0.48,51,54,-4000,725.0,712.0,-4500,725.0,712.0,5.0,0.0,-0.0,0.0,0.0,0.0,0.0
120,beam_x,60x80,60.0,80.0,0.48,40,46,-2000,1615.0,712.0,-3000,1615.0,712.0,10.0,0.0,-0.0,60.0,0.0,100.0,0.0
121,beam_x,60x80,60.0,80.0,0.48,46,52,-3000,1615.0,712.0,-4000,1615.0,712.0,10.0,0.0,0.0,60.0,0.0,100.0,-0.0
122,beam_x,60x80,60.0,80.0,0.48,52,55,-4000,1615.0,712.0,-4500,1615.0,712.0,5.0,0.0,-0.0,0.0,0.0,0.0,0.0
123,beam_y,60x80,60.0,80.0,0.48,38,39,-2000,0,712.0,-2000,725.0,712.0,7.25,0.0,0.0,14.671922,17.728572,0.0,-0.0
124,beam_y,60x80,60.0,80.0,0.48,39,40,-2000,725.0,712.0,-2000,1615.0,712.0,8.9,-0.0,0.0,23.4375,34.765625,-0.0,0.0
125,beam_y,60x80,60.0,80.0,0.48,44,45,-3000,0,712.0,-3000,725.0,712.0,7.25,0.0,0.0,23.4375,28.320312,0.0,-0.0
126,beam_y,60x80,60.0,80.0,0.48,45,46,-3000,725.0,712.0,-3000,1615.0,712.0,8.9,-0.0,0.0,23.4375,34.765625,-0.0,0.0
127,beam_y,60x80,60.0,80.0,0.48,50,51,-4000,0,712.0,-4000,725.0,712.0,7.25,0.0,0.0,11.71875,14.160156,0.0,-0.0
128,beam_y,60x80,60.0,80.0,0.48,51,52,-4000,725.0,712.0,-4000,1615.0,712.0,8.9,-0.0,0.0,11.71875,17.382812,-0.0,0.0
129,beam_y,60x80,60.0,80.0,0.48,53,54,-4500,0,712.0,-4500,725.0,712.0,7.25,0.0,0.0,0.0,-0.0,0.0,-0.0
130,beam_y,60x80,60.0,80.0,0.48,54,55,-4500,725.0,712.0,-4500,1615.0,712.0,8.9,-0.0,0.0,0.0,0.0,0.0,0.0
131,beam_x,60x80,60.0,80.0,0.48,70,78,-2000,0,1068.0,-3000,0,1068.0,10.0,0.0,0.0,50.656092,0.247739,86.706628,-0.0
132,beam_x,60x80,60.0,80.0,0.48,78,84,-3000,0,1068.0,-4000,0,1068.0,10.0,0.0,0.0,45.457176,-3.001011,76.795061,-0.0
133,beam_x,60x80,60.0,80.0,0.48,84,87,-4000,0,1068.0,-4500,0,1068.0,5.0,0.0,-0.0,23.145654,-1.408571,23.72002,0.0
134,beam_x,60x80,60.0,80.0,0.48,71,79,-2000,725.0,1068.0,-3000,725.0,1068.0,10.0,0.0,0.0,104.99718,-0.415707,178.130658,-0.0
135,beam_x,60x80,60.0,80.0,0.48,79,85,-3000,725.0,1068.0,-4000,725.0,1068.0,10.0,0.0,0.0,106.383919,0.252132,178.738148,-0.0
136,beam_x,60x80,60.0,80.0,0.48,85,88,-4000,725.0,1068.0,-4500,725.0,1068.0,5.0,0.0,-0.0,56.348746,-0.231683,59.825443,0.0
137,beam_x,60x80,60.0,80.0,0.48,72,80,-2000,1615.0,1068.0,-3000,1615.0,1068.0,10.0,0.0,0.0,60.245391,0.18997,102.139281,-0.0
138,beam_x,60x80,60.0,80.0,0.48,80,86,-3000,1615.0,1068.0,-4000,1615.0,1068.0,10.0,0.0,0.0,61.11703,0.135972,102.607352,-0.0
139,beam_x,60x80,60.0,80.0,0.48,86,89,-4000,1615.0,1068.0,-4500,1615.0,1068.0,5.0,0.0,-0.0,32.165359,1.501218,34.221271,0.0
140,beam_y,60x80,60.0,80.0,0.48,70,71,-2000,0,1068.0,-2000,725.0,1068.0,7.25,0.0,0.0,10.926353,-1.215413,-0.602699,-0.0
141,beam_y,60x80,60.0,80.0,0.48,71,72,-2000,725.0,1068.0,-2000,1615.0,1068.0,8.9,-0.0,0.0,21.727107,24.792047,0.621237,0.0
142,beam_y,60x80,60.0,80.0,0.48,78,79,-3000,0,1068.0,-3000,725.0,1068.0,7.25,0.0,0.0,19.862347,9.114182,0.555414,-0.0
143,beam_y,60x80,60.0,80.0,0.48,79,80,-3000,725.0,1068.0,-3000,1615.0,1068.0,8.9,-0.0,0.0,21.913461,26.27568,-0.161602,0.0
144,beam_y,60x80,60.0,80.0,0.48,84,85,-4000,0,1068.0,-4000,725.0,1068.0,7.25,0.0,0.0,22.294298,22.244519,-3.304244,-0.0
145,beam_y,60x80,60.0,80.0,0.48,85,86,-4000,725.0,1068.0,-4000,1615.0,1068.0,8.9,-0.0,0.0,21.85505,25.890258,1.902216,0.0
146,beam_y,60x80,60.0,80.0,0.48,87,88,-4500,0,1068.0,-4500,725.0,1068.0,7.25,0.0,0.0,10.118976,7.20972,-1.082452,-0.0
147,beam_y,60x80,60.0,80.0,0.48,88,89,-4500,725.0,1068.0,-4500,1615.0,1068.0,8.9,-0.0,0.0,10.239573,9.903105,0.584643,0.0
148,beam_x,60x80,60.0,80.0,0.48,104,111,-2000,0,1424.0,-3000,0,1424.0,10.0,0.0,-0.0,52.747467,-0.286519,88.779499,0.0
149,beam_x,60x80,60.0,80.0,0.48,111,117,-3000,0,1424.0,-4000,0,1424.0,10.0,0.0,-0.0,45.045132,-1.081804,75.358444,0.0
150,beam_x,60x80,60.0,80.0,0.48,117,120,-4000,0,1424.0,-4500,0,1424.0,5.0,0.0,0.0,21.07118,-1.227355,15.877178,-0.0
151,beam_x,60x80,60.0,80.0,0.48,105,112,-2000,725.0,1424.0,-3000,725.0,1424.0,10.0,0.0,-0.0,105.020746,0.09482,177.741533,0.0
152,beam_x,60x80,60.0,80.0,0.48,112,118,-3000,725.0,1424.0,-4000,725.0,1424.0,10.0,0.0,-0.0,105.776584,0.041158,176.708349,0.0
153,beam_x,60x80,60.0,80.0,0.48,118,121,-4000,725.0,1424.0,-4500,725.0,1424.0,5.0,0.0,0.0,51.711864,-0.405926,44.080384,-0.0
154,beam_x,60x80,60.0,80.0,0.48,106,113,-2000,1615.0,1424.0,-3000,1615.0,1424.0,10.0,0.0,-0.0,60.298067,0.094572,102.032247,0.0
