id,tipo,seccion,b_cm,h_cm,A_m2,nodo_i,nodo_j,xi_cm,yi_cm,zi_cm,xj_cm,yj_cm,zj_cm,L_m,Fx_kN,Fy_kN,Fz_kN,Mx_kNm,My_kNm,Mz_kNm
589,beam_x,30x80,30.0,80.0,0.24,512,514,2830.0,426.5,356.0,2455.0,426.5,356.0,3.75,0.0,0.0,41.875522,8.859365,44.410377,-0.0
590,beam_x,30x80,30.0,80.0,0.24,515,511,3205.0,1188.5,356.0,2830.0,1188.5,356.0,3.75,0.0,0.0,9.483986,43.61249,23.268944,-0.0
591,beam_x,30x80,30.0,80.0,0.24,511,513,2830.0,1188.5,356.0,2455.0,1188.5,356.0,3.75,0.0,0.0,35.858559,-3.850785,21.272053,-0.0
592,beam_x,30x80,30.0,80.0,0.24,522,518,3205.0,426.5,712.0,2830.0,426.5,712.0,3.75,0.0,-0.0,-9.136035,-45.299516,-14.833149,0.0
593,beam_x,30x80,30.0,80.0,0.24,518,520,2830.0,426.5,712.0,2455.0,426.5,712.0,3.75,0.0,0.0,39.676377,6.288034,38.880923,-0.0
594,beam_x,30x80,30.0,80.0,0.24,521,517,3205.0,1188.5,712.0,2830.0,1188.5,712.0,3.75,0.0,-0.0,12.426685,40.819141,28.039233,0.0
595,beam_x,30x80,30.0,80.0,0.24,517,519,2830.0,1188.5,712.0,2455.0,1188.5,712.0,3.75,0.0,0.0,35.744966,-2.51521,21.073678,-0.0
596,beam_x,30x80,30.0,80.0,0.24,528,524,3205.0,426.5,1068.0,2830.0,426.5,1068.0,3.75,-0.0,0.0,-5.338056,-43.183511,-7.664722,-0.0
597,beam_x,30x80,30.0,80.0,0.24,524,526,2830.0,426.5,1068.0,2455.0,426.5,1068.0,3.75,0.0,-0.0,38.617582,5.125882,35.008255,0.0
598,beam_x,30x80,30.0,80.0,0.24,527,523,3205.0,1188.5,1068.0,2830.0,1188.5,1068.0,3.75,0.0,0.0,14.104493,39.022285,31.453242,-0.0
599,beam_x,30x80,30.0,80.0,0.24,523,525,2830.0,1188.5,1068.0,2455.0,1188.5,1068.0,3.75,0.0,-0.0,35.604048,-1.6103,19.782854,0.0
600,beam_x,30x80,30.0,80.0,0.24,534,530,3205.0,426.5,1424.0,2830.0,426.5,1424.0,3.75,-0.0,0.0,-1.628739,-41.315686,-3.475453,-0.0
601,beam_x,30x80,30.0,80.0,0.24,530,532,2830.0,426.5,1424.0,2455.0,426.5,1424.0,3.75,0.0,-0.0,37.278412,4.297118,31.189248,0.0
602,beam_x,30x80,30.0,80.0,0.24,533,529,3205.0,1188.5,1424.0,2830.0,1188.5,1424.0,3.75,0.0,0.0,16.52859,37.79976,33.463363,-0.0
