elementTag;caso;tipo;seccion;global_i_Fx_kN;global_i_Fy_kN;global_i_Fz_kN;global_i_Mx_kNm;global_i_My_kNm;global_i_Mz_kNm;global_j_Fx_kN;global_j_Fy_kN;global_j_Fz_kN;global_j_Mx_kNm;global_j_My_kNm;global_j_Mz_kNm;local_i_N_kN;local_i_Vy_kN;local_i_Vz_kN;local_i_T_kNm;local_i_My_kNm;local_i_Mz_kNm;local_j_N_kN;local_j_Vy_kN;local_j_Vz_kN;local_j_T_kNm;local_j_My_kNm;local_j_Mz_kNm;unity_abs_i_N_kN;unity_abs_i_Vy_kN;unity_abs_i_Vz_kN;unity_abs_i_T_kNm;unity_abs_i_My_kNm;unity_abs_i_Mz_kNm;unity_abs_j_N_kN;unity_abs_j_Vy_kN;unity_abs_j_Vz_kN;unity_abs_j_T_kNm;unity_abs_j_My_kNm;unity_abs_j_Mz_kNm
65;EY;beam_y;60x80;0,0;0,0;-38,27280232;-160,56060405;0,78104266;-0,0;-0,0;0,0;38,27280232;-180,06733656;-0,78104266;-0,0;0,0;-0,0;-38,27280232;0,78104266;160,56060405;-0,0;0,0;0,0;38,27280232;-0,78104266;180,06733656;-0,0;0,0;0,0;38,27280232;0,78104266;160,56060405;0,0;0,0;0,0;38,27280232;0,78104266;180,06733656;0,0
66;EY;column;70x70;-76,15596843;-686,9810536;-892,45534587;1512,64674832;-148,96649919;-12,81088486;76,15596843;686,9810536;892,45534587;933,0058025;-122,14874841;12,81088486;-892,45534587;686,9810536;-76,15596843;-12,81088486;148,96649919;1512,64674832;892,45534587;-686,9810536;76,15596843;12,81088486;122,14874841;933,0058025;892,45534587;686,9810536;76,15596843;12,81088486;148,96649919;1512,64674832;892,45534587;686,9810536;76,15596843;12,81088486;122,14874841;933,0058025
67;EY;column;70x70;-84,1663996;-591,66623932;-772,17895806;1330,3366976;-158,47221085;-12,81088486;84,1663996;591,66623932;772,17895806;775,99511438;-141,16017172;12,81088486;-772,17895806;591,66623932;-84,1663996;-12,81088486;158,47221085;1330,3366976;772,17895806;-591,66623932;84,1663996;12,81088486;141,16017172;775,99511438;772,17895806;591,66623932;84,1663996;12,81088486;158,47221085;1330,3366976;772,17895806;591,66623932;84,1663996;12,81088486;141,16017172;775,99511438
68;EY;column;70x70;-95,54528749;-517,71614677;-899,65374568;1173,37945001;-171,97515782;-12,81088486;95,54528749;517,71614677;899,65374568;669,69003249;-168,16606565;12,81088486;-899,65374568;517,71614677;-95,54528749;-12,81088486;171,97515782;1173,37945001;899,65374568;-517,71614677;95,54528749;12,81088486;168,16606565;669,69003249;899,65374568;517,71614677;95,54528749;12,81088486;171,97515782;1173,37945001;899,65374568;517,71614677;95,54528749;12,81088486;168,16606565;669,69003249
69;EY;column;70x70;-82,18818718;-421,10280905;-738,43151555;1024,1300537;-156,12473212;-12,81088486;82,18818718;421,10280905;738,43151555;474,99594652;-136,46521426;12,81088486;-738,43151555;421,10280905;-82,18818718;-12,81088486;156,12473212;1024,1300537;738,43151555;-421,10280905;82,18818718;12,81088486;136,46521426;474,99594652;738,43151555;421,10280905;82,18818718;12,81088486;156,12473212;1024,1300537;738,43151555;421,10280905;82,18818718;12,81088486;136,46521426;474,99594652
70;EY;column;70x70;3,29287639;-831,4141968;338,6365374;1684,04074491;-4,51492846;-12,81088486;-3,29287639;831,4141968;-338,6365374;1275,79379569;16,23756841;12,81088486;338,6365374;831,4141968;3,29287639;-12,81088486;4,51492846;1684,04074491;-338,6365374;-831,4141968;-3,29287639;12,81088486;-16,23756841;1275,79379569;338,6365374;831,4141968;3,29287639;12,81088486;4,51492846;1684,04074491;338,6365374;831,4141968;3,29287639;12,81088486;16,23756841;1275,79379569
71;EY;column;70x70;-14,21882988;-713,5912186;207,64423622;1475,02100634;-25,29548656;-12,81088486;14,21882988;713,5912186;-207,64423622;1065,36373186;-25,32354779;12,81088486;207,64423622;713,5912186;-14,21882988;-12,81088486;25,29548656;1475,02100634;-207,64423622;-713,5912186;14,21882988;12,81088486;25,32354779;1065,36373186;207,64423622;713,5912186;14,21882988;12,81088486;25,29548656;1475,02100634;207,64423622;713,5912186;14,21882988;12,81088486;25,32354779;1065,36373186
72;EY;column;70x70;-12,42456362;-619,3994077;200,34120047;1294,04358631;-23,16629061;-12,81088486;12,42456362;619,3994077;-200,34120047;911,01830509;-21,06515588;12,81088486;200,34120047;619,3994077;-12,42456362;-12,81088486;23,16629061;1294,04358631;-200,34120047;-619,3994077;12,42456362;12,81088486;21,06515588;911,01830509;200,34120047;619,3994077;12,42456362;12,81088486;23,16629061;1294,04358631;200,34120047;619,3994077;12,42456362;12,81088486;21,06515588;911,01830509
73;EY;column;70x70;-13,28011631;-532,18108932;205,44093304;1155,94294628;-24,18154647;-12,81088486;13,28011631;532,18108932;-205,44093304;738,62173169;-23,0956676;12,81088486;205,44093304;532,18108932;-13,28011631;-12,81088486;24,18154647;1155,94294628;-205,44093304;-532,18108932;13,28011631;12,81088486;23,0956676;738,62173169;205,44093304;532,18108932;13,28011631;12,81088486;24,18154647;1155,94294628;205,44093304;532,18108932;13,28011631;12,81088486;23,0956676;738,62173169
74;EY;column;70x70;72,87128917;-660,4742203;557,57545009;1481,1919728;139,64224731;-12,81088486;-72,87128917;660,4742203;-557,57545009;870,09625147;119,77954212;12,81088486;557,57545009;660,4742203;72,87128917;-12,81088486;-139,64224731;1481,1919728;-557,57545009;-660,4742203;-72,87128917;12,81088486;-119,77954212;870,09625147;557,57545009;660,4742203;72,87128917;12,81088486;139,64224731;1481,1919728;557,57545009;660,4742203;72,87128917;12,81088486;119,77954212;870,09625147
75;EY;column;70x70;72,32875662;-567,6749987;563,70686333;1301,86709207;138,99844202;-12,81088486;-72,32875662;567,6749987;-563,70686333;719,05590331;118,49193154;12,81088486;563,70686333;567,6749987;72,32875662;-12,81088486;-138,99844202;1301,86709207;-563,70686333;-567,6749987;-72,32875662;12,81088486;-118,49193154;719,05590331;563,70686333;567,6749987;72,32875662;12,81088486;138,99844202;1301,86709207;563,70686333;567,6749987;72,32875662;12,81088486;118,49193154;719,05590331
76;EY;column;70x70;83,96016094;-499,91088509;683,94165962;1152,25053948;152,80104182;-12,81088486;-83,96016094;499,91088509;-683,94165962;627,43221143;146,09713113;12,81088486;683,94165962;499,91088509;83,96016094;-12,81088486;-152,80104182;1152,25053948;-683,94165962;-499,91088509;-83,96016094;12,81088486;-146,09713113;627,43221143;683,94165962;499,91088509;83,96016094;12,81088486;152,80104182;1152,25053948;683,94165962;499,91088509;83,96016094;12,81088486;146,09713113;627,43221143
77;EY;column;70x70;71,64876426;-397,91653083;532,82704327;996,61567021;138,19151776;-12,81088486;-71,64876426;397,91653083;-532,82704327;419,96717956;116,87808301;12,81088486;532,82704327;397,91653083;71,64876426;-12,81088486;-138,19151776;996,61567021;-532,82704327;-397,91653083;-71,64876426;12,81088486;-116,87808301;419,96717956;532,82704327;397,91653083;71,64876426;12,81088486;138,19151776;996,61567021;532,82704327;397,91653083;71,64876426;12,81088486;116,87808301;419,96717956
78;EY;column;70x70;14,54724566;-241,58389727;-578,11064558;349,94905942;65,22365057;3,5753891;-14,54724566;241,58389727;578,11064558;510,08961486;-13,43545601;-3,5753891;-578,11064558;241,58389727;14,54724566;3,5753891;-65,22365057;349,94905942;578,11064558;-241,58389727;-14,54724566;-3,5753891;13,43545601;510,08961486;578,11064558;241,58389727;14,54724566;3,5753891;65,22365057;349,94905942;578,11064558;241,58389727;14,54724566;3,5753891;13,43545601;510,08961486
79;EY;column;70x70;38,32066782;-284,53392112;-462,43648959;445,5296833;83,92906654;3,5753891;-38,32066782;284,53392112;462,43648959;567,4110759;52,4925109;-3,5753891;-462,43648959;284,53392112;38,32066782;3,5753891;-83,92906654;445,5296833;462,43648959;-284,53392112;-38,32066782;-3,5753891;-52,4925109;567,4110759;462,43648959;284,53392112;38,32066782;3,5753891;83,92906654;445,5296833;462,43648959;284,53392112;38,32066782;3,5753891;52,4925109;567,4110759
80;EY;column;70x70;21,27227696;-322,5269159;-451,96943569;560,58076913;50,19536243;3,5753891;-21,27227696;322,5269159;451,96943569;587,61505146;25,53394356;-3,5753891;-451,96943569;322,5269159;21,27227696;3,5753891;-50,19536243;560,58076913;451,96943569;-322,5269159;-21,27227696;-3,5753891;-25,53394356;587,61505146;451,96943569;322,5269159;21,27227696;3,5753891;50,19536243;560,58076913;451,96943569;322,5269159;21,27227696;3,5753891;25,53394356;587,61505146
