elementTag;caso;tipo;seccion;global_i_Fx_kN;global_i_Fy_kN;global_i_Fz_kN;global_i_Mx_kNm;global_i_My_kNm;global_i_Mz_kNm;global_j_Fx_kN;global_j_Fy_kN;global_j_Fz_kN;global_j_Mx_kNm;global_j_My_kNm;global_j_Mz_kNm;local_i_N_kN;local_i_Vy_kN;local_i_Vz_kN;local_i_T_kNm;local_i_My_kNm;local_i_Mz_kNm;local_j_N_kN;local_j_Vy_kN;local_j_Vz_kN;local_j_T_kNm;local_j_My_kNm;local_j_Mz_kNm;unity_abs_i_N_kN;unity_abs_i_Vy_kN;unity_abs_i_Vz_kN;unity_abs_i_T_kNm;unity_abs_i_My_kNm;unity_abs_i_Mz_kNm;unity_abs_j_N_kN;unity_abs_j_Vy_kN;unity_abs_j_Vz_kN;unity_abs_j_T_kNm;unity_abs_j_My_kNm;unity_abs_j_Mz_kNm
388;G;beam_x;60x80;0,0;-0,0;118,00095564;52,29798845;-232,72291067;-0,0;0,0;0,0;-98,55392439;-52,29798845;-173,31748939;-0,0;0,0;-0,0;118,00095564;52,29798845;-232,72291067;-0,0;0,0;0,0;-98,55392439;-52,29798845;-173,31748939;-0,0;0,0;0,0;118,00095564;52,29798845;232,72291067;0,0;0,0;0,0;98,55392439;52,29798845;173,31748939;0,0
389;G;beam_x;60x80;0,0;0,0;145,40968031;24,07483212;-307,72141765;0,0;0,0;-0,0;-125,96264906;-24,07483212;-201,10169993;0,0;0,0;0,0;145,40968031;24,07483212;-307,72141765;0,0;0,0;-0,0;-125,96264906;-24,07483212;-201,10169993;0,0;0,0;0,0;145,40968031;24,07483212;307,72141765;0,0;0,0;0,0;125,96264906;24,07483212;201,10169993;0,0
390;G;beam_y;80x80;-70,63216034;-0,69729758;57,72523812;77,9973377;8,66081732;23,68620227;70,63216034;0,69729758;-55,18352298;-24,93021999;-8,66081732;42,70802845;-0,69729758;70,63216034;57,72523812;8,66081732;-77,9973377;23,68620227;0,69729758;-70,63216034;-55,18352298;-8,66081732;24,93021999;42,70802845;0,69729758;70,63216034;57,72523812;8,66081732;77,9973377;23,68620227;0,69729758;70,63216034;55,18352298;8,66081732;24,93021999;42,70802845
391;G;beam_y;80x80;22,95378878;-2,64217677;364,32929283;266,34701848;35,17582826;-7,77550024;-22,95378878;2,64217677;-361,78757769;74,92791066;-35,17582826;-13,80106121;-2,64217677;-22,95378878;364,32929283;35,17582826;-266,34701848;-7,77550024;2,64217677;22,95378878;-361,78757769;-35,17582826;-74,92791066;-13,80106121;2,64217677;22,95378878;364,32929283;35,17582826;266,34701848;7,77550024;2,64217677;22,95378878;361,78757769;35,17582826;74,92791066;13,80106121
392;G;beam_y;80x80;31,50944087;-3,72663804;468,46403386;343,9920244;48,81645492;-10,64588328;-31,50944087;3,72663804;-465,92231872;95,16956131;-48,81645492;-18,97299114;-3,72663804;-31,50944087;468,46403386;48,81645492;-343,9920244;-10,64588328;3,72663804;31,50944087;-465,92231872;-48,81645492;-95,16956131;-18,97299114;3,72663804;31,50944087;468,46403386;48,81645492;343,9920244;10,64588328;3,72663804;31,50944087;465,92231872;48,81645492;95,16956131;18,97299114
393;G;beam_y;80x80;35,86112381;-3,83234344;557,73459752;404,24527173;73,25736426;-12,10051506;-35,86112381;3,83234344;-555,19288238;118,83064383;-73,25736426;-21,60894133;-3,83234344;-35,86112381;557,73459752;73,25736426;-404,24527173;-12,10051506;3,83234344;35,86112381;-555,19288238;-73,25736426;-118,83064383;-21,60894133;3,83234344;35,86112381;557,73459752;73,25736426;404,24527173;12,10051506;3,83234344;35,86112381;555,19288238;73,25736426;118,83064383;21,60894133
394;G;beam_y;80x80;40,99278799;-4,33367192;468,54068418;368,83861526;110,15705638;-13,83614198;-40,99278799;4,33367192;-465,99896904;70,39502176;-110,15705638;-24,69707873;-4,33367192;-40,99278799;468,54068418;110,15705638;-368,83861526;-13,83614198;4,33367192;40,99278799;-465,99896904;-110,15705638;-70,39502176;-24,69707873;4,33367192;40,99278799;468,54068418;110,15705638;368,83861526;13,83614198;4,33367192;40,99278799;465,99896904;110,15705638;70,39502176;24,69707873
395;G;beam_x;60x80;0,0;0,0;139,51202047;-58,48223786;-279,78322004;0,0;0,0;-0,0;-120,06498922;58,48223786;-206,92367312;0,0;0,0;0,0;139,51202047;-58,48223786;-279,78322004;0,0;0,0;-0,0;-120,06498922;58,48223786;-206,92367312;0,0;0,0;0,0;139,51202047;58,48223786;279,78322004;0,0;0,0;0,0;120,06498922;58,48223786;206,92367312;0,0
396;G;beam_x;60x80;0,0;-0,0;137,98418156;-63,76099285;-271,80078774;-0,0;0,0;0,0;-118,53715031;63,76099285;-209,1767095;-0,0;0,0;-0,0;137,98418156;-63,76099285;-271,80078774;-0,0;0,0;0,0;-118,53715031;63,76099285;-209,1767095;-0,0;0,0;0,0;137,98418156;63,76099285;271,80078774;0,0;0,0;0,0;118,53715031;63,76099285;209,1767095;0,0
397;G;beam_x;60x80;0,0;-0,0;137,39223294;-66,09304253;-266,96885615;-0,0;0,0;0,0;-117,94520169;66,09304253;-211,7888338;-0,0;0,0;-0,0;137,39223294;-66,09304253;-266,96885615;-0,0;0,0;0,0;-117,94520169;66,09304253;-211,7888338;-0,0;0,0;0,0;137,39223294;66,09304253;266,96885615;0,0;0,0;0,0;117,94520169;66,09304253;211,7888338;0,0
398;G;beam_x;60x80;0,0;-0,0;140,48798683;-72,01488464;-280,59268356;-0,0;0,0;0,0;-121,04095558;72,01488464;-209,77408345;-0,0;0,0;-0,0;140,48798683;-72,01488464;-280,59268356;-0,0;0,0;0,0;-121,04095558;72,01488464;-209,77408345;-0,0;0,0;0,0;140,48798683;72,01488464;280,59268356;0,0;0,0;0,0;121,04095558;72,01488464;209,77408345;0,0
399;G;beam_x;60x80;0,0;0,0;175,06387674;-39,10017905;-372,63231546;0,0;0,0;-0,0;-155,61684549;39,10017905;-247,39403873;0,0;0,0;0,0;175,06387674;-39,10017905;-372,63231546;0,0;0,0;-0,0;-155,61684549;39,10017905;-247,39403873;0,0;0,0;0,0;175,06387674;39,10017905;372,63231546;0,0;0,0;0,0;155,61684549;39,10017905;247,39403873;0,0
400;G;beam_x;60x80;0,0;0,0;199,08503075;15,29824704;-364,45592691;0,0;0,0;-0,0;-160,59562207;-15,29824704;-309,94529712;0,0;0,0;0,0;199,08503075;15,29824704;-364,45592691;0,0;0,0;-0,0;-160,59562207;-15,29824704;-309,94529712;0,0;0,0;0,0;199,08503075;15,29824704;364,45592691;0,0;0,0;0,0;160,59562207;15,29824704;309,94529712;0,0
401;G;beam_x;60x80;0,0;-0,0;195,6036436;18,73399963;-354,84715417;-0,0;0,0;0,0;-157,11423493;-18,73399963;-306,49886808;-0,0;0,0;-0,0;195,6036436;18,73399963;-354,84715417;-0,0;0,0;0,0;-157,11423493;-18,73399963;-306,49886808;-0,0;0,0;0,0;195,6036436;18,73399963;354,84715417;0,0;0,0;0,0;157,11423493;18,73399963;306,49886808;0,0
402;G;beam_x;60x80;0,0;-0,0;196,03354326;19,34797563;-355,17597565;-0,0;0,0;0,0;-157,54413459;-19,34797563;-307,78217031;-0,0;0,0;-0,0;196,03354326;19,34797563;-355,17597565;-0,0;0,0;0,0;-157,54413459;-19,34797563;-307,78217031;-0,0;0,0;0,0;196,03354326;19,34797563;355,17597565;0,0;0,0;0,0;157,54413459;19,34797563;307,78217031;0,0
403;G;beam_x;60x80;0,0;-0,0;196,03709318;20,79990759;-360,12381915;-0,0;0,0;0,0;-157,5476845;-20,79990759;-302,847639;-0,0;0,0;-0,0;196,03709318;20,79990759;-360,12381915;-0,0;0,0;0,0;-157,5476845;-20,79990759;-302,847639;-0,0;0,0;0,0;196,03709318;20,79990759;360,12381915;0,0;0,0;0,0;157,5476845;20,79990759;302,847639;0,0
404;G;beam_x;60x80;0,0;0,0;209,20188787;15,03445146;-389,1574166;0,0;0,0;-0,0;-170,71247919;-15,03445146;-323,18202163;0,0;0,0;0,0;209,20188787;15,03445146;-389,1574166;0,0;0,0;-0,0;-170,71247919;-15,03445146;-323,18202163;0,0;0,0;0,0;209,20188787;15,03445146;389,1574166;0,0;0,0;0,0;170,71247919;15,03445146;323,18202163;0,0
405;G;beam_y;60x80;0,0;0,0;106,40794601;79,59885393;10,96888955;-0,0;-0,0;0,0;93,03389199;-31,11790811;-10,96888955;-0,0;0,0;-0,0;106,40794601;10,96888955;-79,59885393;-0,0;0,0;0,0;93,03389199;-10,96888955;31,11790811;-0,0;0,0;0,0;106,40794601;10,96888955;79,59885393;0,0;0,0;0,0;93,03389199;10,96888955;31,11790811;0,0
406;G;beam_y;60x80;-0,0;0,0;75,45636648;24,23109056;-29,85490379;0,0;0,0;0,0;103,105341;-147,26902716;29,85490379;0,0;0,0;0,0;75,45636648;-29,85490379;-24,23109056;0,0;0,0;-0,0;103,105341;29,85490379;147,26902716;0,0;0,0;0,0;75,45636648;29,85490379;24,23109056;0,0;0,0;0,0;103,105341;29,85490379;147,26902716;0,0
407;G;beam_y;60x80;0,0;0,0;66,91762462;66,13465171;-0,58935168;-0,0;-0,0;0,0;64,45787538;-57,21806072;0,58935168;-0,0;0,0;-0,0;66,91762462;-0,58935168;-66,13465171;-0,0;0,0;0,0;64,45787538;0,58935168;57,21806072;-0,0;0,0;0,0;66,91762462;0,58935168;66,13465171;0,0;0,0;0,0;64,45787538;0,58935168;57,21806072;0,0
408;G;beam_y;60x80;-0,0;0,0;88,80695762;87,3992948;1,27053004;0,0;0,0;0,0;88,20424238;-84,71721196;-1,27053004;0,0;0,0;0,0;88,80695762;1,27053004;-87,3992948;0,0;0,0;-0,0;88,20424238;-1,27053004;84,71721196;0,0;0,0;0,0;88,80695762;1,27053004;87,3992948;0,0;0,0;0,0;88,20424238;1,27053004;84,71721196;0,0
409;G;beam_y;60x80;0,0;0,0;51,16236662;29,01671833;26,74121799;-0,0;-0,0;0,0;3,46409982;72,69983563;-26,74121799;-0,0;0,0;-0,0;51,16236662;26,74121799;-29,01671833;-0,0;0,0;0,0;3,46409982;-26,74121799;-72,69983563;-0,0;0,0;0,0;51,16236662;26,74121799;29,01671833;0,0;0,0;0,0;3,46409982;26,74121799;72,69983563;0,0
410;G;beam_y;60x80;-0,0;0,0;106,56927193;179,51099179;8,76877133;0,0;0,0;0,0;-40,80640444;162,03213821;-8,76877133;0,0;0,0;0,0;106,56927193;8,76877133;-179,51099179;0,0;0,0;-0,0;-40,80640444;-8,76877133;-162,03213821;0,0;0,0;0,0;106,56927193;8,76877133;179,51099179;0,0;0,0;0,0;40,80640444;8,76877133;162,03213821;0,0
411;G;beam_y;60x80;0,0;0,0;65,86829399;46,43902315;-31,72797959;-0,0;-0,0;0,0;-14,26896036;124,45367174;31,72797959;-0,0;0,0;-0,0;65,86829399;-31,72797959;-46,43902315;-0,0;0,0;0,0;-14,26896036;31,72797959;-124,45367174;-0,0;0,0;0,0;65,86829399;31,72797959;46,43902315;0,0;0,0;0,0;14,26896036;31,72797959;124,45367174;0,0
412;G;beam_y;60x80;-0,0;0,0;148,5720547;299,05252895;14,91470881;0,0;0,0;0,0;-85,60786759;243,65944095;-14,91470881;0,0;0,0;0,0;148,5720547;14,91470881;-299,05252895;0,0;0,0;-0,0;-85,60786759;-14,91470881;-243,65944095;0,0;0,0;0,0;148,5720547;14,91470881;299,05252895;0,0;0,0;0,0;85,60786759;14,91470881;243,65944095;0,0
413;G;beam_y;60x80;0,0;0,0;108,8244658;86,27951183;7,32795417;-0,0;-0,0;0,0;90,6173722;-20,27879752;-7,32795417;-0,0;0,0;-0,0;108,8244658;7,32795417;-86,27951183;-0,0;0,0;0,0;90,6173722;-7,32795417;20,27879752;-0,0;0,0;0,0;108,8244658;7,32795417;86,27951183;0,0;0,0;0,0;90,6173722;7,32795417;20,27879752;0,0
414;G;beam_y;60x80;-0,0;0,0;74,11926333;15,95392552;-28,13367062;0,0;0,0;0,0;104,44244415;-150,89208017;28,13367062;0,0;0,0;0,0;74,11926333;-28,13367062;-15,95392552;0,0;0,0;-0,0;104,44244415;28,13367062;150,89208017;0,0;0,0;0,0;74,11926333;28,13367062;15,95392552;0,0;0,0;0,0;104,44244415;28,13367062;150,89208017;0,0
415;G;beam_y;60x80;0,0;0,0;70,82317108;78,53472499;0,40427074;-0,0;-0,0;0,0;60,55232892;-41,30292215;-0,40427074;-0,0;0,0;-0,0;70,82317108;0,40427074;-78,53472499;-0,0;0,0;0,0;60,55232892;-0,40427074;41,30292215;-0,0;0,0;0,0;70,82317108;0,40427074;78,53472499;0,0;0,0;0,0;60,55232892;0,40427074;41,30292215;0,0
