elementTag;caso;tipo;seccion;global_i_Fx_kN;global_i_Fy_kN;global_i_Fz_kN;global_i_Mx_kNm;global_i_My_kNm;global_i_Mz_kNm;global_j_Fx_kN;global_j_Fy_kN;global_j_Fz_kN;global_j_Mx_kNm;global_j_My_kNm;global_j_Mz_kNm;local_i_N_kN;local_i_Vy_kN;local_i_Vz_kN;local_i_T_kNm;local_i_My_kNm;local_i_Mz_kNm;local_j_N_kN;local_j_Vy_kN;local_j_Vz_kN;local_j_T_kNm;local_j_My_kNm;local_j_Mz_kNm;unity_abs_i_N_kN;unity_abs_i_Vy_kN;unity_abs_i_Vz_kN;unity_abs_i_T_kNm;unity_abs_i_My_kNm;unity_abs_i_Mz_kNm;unity_abs_j_N_kN;unity_abs_j_Vy_kN;unity_abs_j_Vz_kN;unity_abs_j_T_kNm;unity_abs_j_My_kNm;unity_abs_j_Mz_kNm
256;Q;column;70x70;-23,56985702;37,89109631;745,88541168;-68,83494518;-43,07800887;0,023724;23,56985702;-37,89109631;-745,88541168;-66,05735767;-40,83068214;-0,023724;745,88541168;-37,89109631;-23,56985702;0,023724;43,07800887;-68,83494518;-745,88541168;37,89109631;23,56985702;-0,023724;40,83068214;-66,05735767;745,88541168;37,89109631;23,56985702;0,023724;43,07800887;68,83494518;745,88541168;37,89109631;23,56985702;0,023724;40,83068214;66,05735767
257;Q;column;70x70;-21,41544949;43,16277352;561,5579803;-75,46987211;-36,99446233;-0,09480674;21,41544949;-43,16277352;-561,5579803;-78,18960161;-39,24453784;0,09480674;561,5579803;-43,16277352;-21,41544949;-0,09480674;36,99446233;-75,46987211;-561,5579803;43,16277352;21,41544949;0,09480674;39,24453784;-78,18960161;561,5579803;43,16277352;21,41544949;0,09480674;36,99446233;75,46987211;561,5579803;43,16277352;21,41544949;0,09480674;39,24453784;78,18960161
258;Q;column;70x70;-18,67094136;40,42954308;373,84652193;-73,69465923;-33,77425883;-0,11928191;18,67094136;-40,42954308;-373,84652193;-70,23451412;-32,69429243;0,11928191;373,84652193;-40,42954308;-18,67094136;-0,11928191;33,77425883;-73,69465923;-373,84652193;40,42954308;18,67094136;0,11928191;32,69429243;-70,23451412;373,84652193;40,42954308;18,67094136;0,11928191;33,77425883;73,69465923;373,84652193;40,42954308;18,67094136;0,11928191;32,69429243;70,23451412
259;Q;column;70x70;-25,95861542;63,23902647;180,88730168;-99,99257428;-38,4846166;-0,19042857;25,95861542;-63,23902647;-180,88730168;-125,13835996;-53,92805431;0,19042857;180,88730168;-63,23902647;-25,95861542;-0,19042857;38,4846166;-99,99257428;-180,88730168;63,23902647;25,95861542;0,19042857;53,92805431;-125,13835996;180,88730168;63,23902647;25,95861542;0,19042857;38,4846166;99,99257428;180,88730168;63,23902647;25,95861542;0,19042857;53,92805431;125,13835996
260;Q;column;70x70;-21,17885;6,45064692;1907,91874701;-8,12033248;-24,17475541;0,00801778;21,17885;-6,45064692;-1907,91874701;-14,84397054;-51,22195061;-0,00801778;1907,91874701;-6,45064692;-21,17885;0,00801778;24,17475541;-8,12033248;-1907,91874701;6,45064692;21,17885;-0,00801778;51,22195061;-14,84397054;1907,91874701;6,45064692;21,17885;0,00801778;24,17475541;8,12033248;1907,91874701;6,45064692;21,17885;0,00801778;51,22195061;14,84397054
261;Q;column;70x70;-36,96567501;12,93057166;1515,06773781;-23,99737916;-67,63946054;0,023724;36,96567501;-12,93057166;-1515,06773781;-22,03545595;-63,9583425;-0,023724;1515,06773781;-12,93057166;-36,96567501;0,023724;67,63946054;-23,99737916;-1515,06773781;12,93057166;36,96567501;-0,023724;63,9583425;-22,03545595;1515,06773781;12,93057166;36,96567501;0,023724;67,63946054;23,99737916;1515,06773781;12,93057166;36,96567501;0,023724;63,9583425;22,03545595
262;Q;column;70x70;-33,34617859;17,1124994;1135,47383526;-30,15480102;-57,91933928;-0,09480674;33,34617859;-17,1124994;-1135,47383526;-30,76569684;-60,79305649;0,09480674;1135,47383526;-17,1124994;-33,34617859;-0,09480674;57,91933928;-30,15480102;-1135,47383526;17,1124994;33,34617859;0,09480674;60,79305649;-30,76569684;1135,47383526;17,1124994;33,34617859;0,09480674;57,91933928;30,15480102;1135,47383526;17,1124994;33,34617859;0,09480674;60,79305649;30,76569684
263;Q;column;70x70;-28,65705019;13,66571901;762,10063936;-25,42400853;-52,9193074;-0,11928191;28,65705019;-13,66571901;-762,10063936;-23,22595117;-49,09979127;0,11928191;762,10063936;-13,66571901;-28,65705019;-0,11928191;52,9193074;-25,42400853;-762,10063936;13,66571901;28,65705019;0,11928191;49,09979127;-23,22595117;762,10063936;13,66571901;28,65705019;0,11928191;52,9193074;25,42400853;762,10063936;13,66571901;28,65705019;0,11928191;49,09979127;23,22595117
264;Q;column;70x70;-47,3961723;26,48319598;397,49228018;-41,12683036;-68,20052986;-0,19042857;47,3961723;-26,48319598;-397,49228018;-53,15334734;-100,52984354;0,19042857;397,49228018;-26,48319598;-47,3961723;-0,19042857;68,20052986;-41,12683036;-397,49228018;26,48319598;47,3961723;0,19042857;100,52984354;-53,15334734;397,49228018;26,48319598;47,3961723;0,19042857;68,20052986;41,12683036;397,49228018;26,48319598;47,3961723;0,19042857;100,52984354;53,15334734
265;Q;column;70x70;-4,59572346;-25,47778524;973,30500758;29,76807368;-4,53465892;0,00801778;4,59572346;25,47778524;-973,30500758;60,93284178;-11,82611661;-0,00801778;973,30500758;25,47778524;-4,59572346;0,00801778;4,53465892;29,76807368;-973,30500758;-25,47778524;4,59572346;-0,00801778;11,82611661;60,93284178;973,30500758;25,47778524;4,59572346;0,00801778;4,53465892;29,76807368;973,30500758;25,47778524;4,59572346;0,00801778;11,82611661;60,93284178
