caso;representante;elementTag;tipo;seccion;piso;L_m;x_local_m;N_kN;V_kN;M_kNm
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;4,272;0,0;-0,005;0,0655
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;4,3165;0,0;-0,005;0,0653
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;4,361;0,0;-0,005;0,0651
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;4,4055;0,0;-0,005;0,0648
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;4,45;0,0;-0,005;0,0646
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;4,4945;0,0;-0,005;0,0644
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;4,539;0,0;-0,005;0,0642
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;4,5835;0,0;-0,005;0,064
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;4,628;0,0;-0,005;0,0637
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;4,6725;0,0;-0,005;0,0635
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;4,717;0,0;-0,005;0,0633
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;4,7615;0,0;-0,005;0,0631
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;4,806;0,0;-0,005;0,0628
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;4,8505;0,0;-0,005;0,0626
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;4,895;0,0;-0,005;0,0624
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;4,9395;0,0;-0,005;0,0622
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;4,984;0,0;-0,005;0,0619
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;5,0285;0,0;-0,005;0,0617
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;5,073;0,0;-0,005;0,0615
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;5,1175;0,0;-0,005;0,0613
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;5,162;0,0;-0,005;0,061
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;5,2065;0,0;-0,005;0,0608
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;5,251;0,0;-0,005;0,0606
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;5,2955;0,0;-0,005;0,0604
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;5,34;0,0;-0,005;0,0601
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;5,3845;0,0;-0,005;0,0599
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;5,429;0,0;-0,005;0,0597
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;5,4735;0,0;-0,005;0,0595
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;5,518;0,0;-0,005;0,0592
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;5,5625;0,0;-0,005;0,059
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;5,607;0,0;-0,005;0,0588
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;5,6515;0,0;-0,005;0,0586
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;5,696;0,0;-0,005;0,0583
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;5,7405;0,0;-0,005;0,0581
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;5,785;0,0;-0,005;0,0579
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;5,8295;0,0;-0,005;0,0577
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;5,874;0,0;-0,005;0,0574
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;5,9185;0,0;-0,005;0,0572
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;5,963;0,0;-0,005;0,057
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;6,0075;0,0;-0,005;0,0568
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;6,052;0,0;-0,005;0,0565
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;6,0965;0,0;-0,005;0,0563
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;6,141;0,0;-0,005;0,0561
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;6,1855;0,0;-0,005;0,0559
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;6,23;0,0;-0,005;0,0557
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;6,2745;0,0;-0,005;0,0554
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;6,319;0,0;-0,005;0,0552
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;6,3635;0,0;-0,005;0,055
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;6,408;0,0;-0,005;0,0548
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;6,4525;0,0;-0,005;0,0545
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;6,497;0,0;-0,005;0,0543
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;6,5415;0,0;-0,005;0,0541
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;6,586;0,0;-0,005;0,0539
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;6,6305;0,0;-0,005;0,0536
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;6,675;0,0;-0,005;0,0534
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;6,7195;0,0;-0,005;0,0532
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;6,764;0,0;-0,005;0,053
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;6,8085;0,0;-0,005;0,0527
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;6,853;0,0;-0,005;0,0525
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;6,8975;0,0;-0,005;0,0523
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;6,942;0,0;-0,005;0,0521
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;6,9865;0,0;-0,005;0,0518
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;7,031;0,0;-0,005;0,0516
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;7,0755;0,0;-0,005;0,0514
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;7,12;0,0;-0,005;0,0512
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;7,1645;0,0;-0,005;0,0509
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;7,209;0,0;-0,005;0,0507
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;7,2535;0,0;-0,005;0,0505
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;7,298;0,0;-0,005;0,0503
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;7,3425;0,0;-0,005;0,05
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;7,387;0,0;-0,005;0,0498
