caso;representante;elementTag;tipo;seccion;piso;L_m;x_local_m;N_kN;V_kN;M_kNm
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;4,0495;0,0;4,2813;26,4496
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;4,094;0,0;3,9613;26,633
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;4,1385;0,0;3,6413;26,8022
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;4,183;0,0;3,3213;26,9571
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;4,2275;0,0;3,0013;27,0977
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;4,272;0,0;2,6813;27,2242
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;4,3165;0,0;2,3613;27,3364
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;4,361;0,0;2,0413;27,4343
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;4,4055;0,0;1,7213;27,5181
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;4,45;0,0;1,4013;27,5875
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;4,4945;0,0;1,0813;27,6428
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;4,539;0,0;0,7613;27,6838
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;4,5835;0,0;0,4413;27,7105
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;4,628;0,0;0,1213;27,7231
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;4,6725;0,0;-0,1987;27,7213
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;4,717;0,0;-0,5187;27,7054
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;4,7615;0,0;-0,8387;27,6752
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;4,806;0,0;-1,1587;27,6307
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;4,8505;0,0;-1,4787;27,572
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;4,895;0,0;-1,7987;27,4991
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;4,9395;0,0;-2,1187;27,412
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;4,984;0,0;-2,4387;27,3106
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;5,0285;0,0;-2,7587;27,1949
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;5,073;0,0;-3,0787;27,065
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;5,1175;0,0;-3,3987;26,9209
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;5,162;0,0;-3,7187;26,7625
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;5,2065;0,0;-4,0387;26,5899
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;5,251;0,0;-4,3587;26,4031
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;5,2955;0,0;-4,6787;26,202
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;5,34;0,0;-4,9987;25,9867
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;5,3845;0,0;-5,3187;25,7571
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;5,429;0,0;-5,6387;25,5133
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;5,4735;0,0;-5,9587;25,2553
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;5,518;0,0;-6,2787;24,983
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;5,5625;0,0;-6,5987;24,6965
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;5,607;0,0;-6,9187;24,3957
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;5,6515;0,0;-7,2387;24,0807
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;5,696;0,0;-7,5587;23,7515
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;5,7405;0,0;-7,8787;23,408
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;5,785;0,0;-8,1987;23,0503
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;5,8295;0,0;-8,5187;22,6783
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;5,874;0,0;-8,8387;22,2921
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;5,9185;0,0;-9,1587;21,8917
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;5,963;0,0;-9,4787;21,477
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;6,0075;0,0;-9,7987;21,0481
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;6,052;0,0;-10,1187;20,6049
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;6,0965;0,0;-10,4387;20,1475
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;6,141;0,0;-10,7587;19,6759
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;6,1855;0,0;-11,0787;19,19
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;6,23;0,0;-11,3987;18,6899
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;6,2745;0,0;-11,7187;18,1755
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;6,319;0,0;-12,0387;17,6469
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;6,3635;0,0;-12,3587;17,1041
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;6,408;0,0;-12,6787;16,547
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;6,4525;0,0;-12,9987;15,9757
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;6,497;0,0;-13,3187;15,3901
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;6,5415;0,0;-13,6387;14,7903
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;6,586;0,0;-13,9587;14,1763
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;6,6305;0,0;-14,2787;13,548
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;6,675;0,0;-14,5987;12,9054
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;6,7195;0,0;-14,9187;12,2487
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;6,764;0,0;-15,2387;11,5777
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;6,8085;0,0;-15,5587;10,8924
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;6,853;0,0;-15,8787;10,193
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;6,8975;0,0;-16,1987;9,4792
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;6,942;0,0;-16,5187;8,7513
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;6,9865;0,0;-16,8387;8,0091
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;7,031;0,0;-17,1587;7,2526
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;7,0755;0,0;-17,4787;6,482
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;7,12;0,0;-17,7987;5,697
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;7,1645;0,0;-18,1187;4,8979
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;7,209;0,0;-18,4387;4,0845
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;7,2535;0,0;-18,7587;3,2568
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;7,298;0,0;-19,0787;2,4149
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;7,3425;0,0;-19,3987;1,5588
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;7,387;0,0;-19,7187;0,6885
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;7,4315;0,0;-20,0387;-0,1961
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;7,476;0,0;-20,3587;-1,095
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;7,5205;0,0;-20,6787;-2,0081
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;7,565;0,0;-20,9987;-2,9354
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;7,6095;0,0;-21,3187;-3,877
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;7,654;0,0;-21,6387;-4,8328
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;7,6985;0,0;-21,9587;-5,8028
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;7,743;0,0;-22,2787;-6,7871
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;7,7875;0,0;-22,5987;-7,7856
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;7,832;0,0;-22,9187;-8,7984
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;7,8765;0,0;-23,2387;-9,8254
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;7,921;0,0;-23,5587;-10,8666
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;7,9655;0,0;-23,8787;-11,9221
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;8,01;0,0;-24,1987;-12,9918
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;8,0545;0,0;-24,5187;-14,0758
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;8,099;0,0;-24,8387;-15,174
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;8,1435;0,0;-25,1587;-16,2864
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;8,188;0,0;-25,4787;-17,4131
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;8,2325;0,0;-25,7987;-18,554
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;8,277;0,0;-26,1187;-19,7092
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;8,3215;0,0;-26,4387;-20,8786
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;8,366;0,0;-26,7587;-22,0622
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;8,4105;0,0;-27,0787;-23,2601
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;8,455;0,0;-27,3987;-24,4722
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;8,4995;0,0;-27,7187;-25,6986
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;8,544;0,0;-28,0387;-26,9392
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;8,5885;0,0;-28,3587;-28,194
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;8,633;0,0;-28,6787;-29,4631
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;8,6775;0,0;-28,9987;-30,7464
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;8,722;0,0;-29,3187;-32,044
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;8,7665;0,0;-29,6387;-33,3558
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;8,811;0,0;-29,9587;-34,6818
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;8,8555;0,0;-30,2787;-36,0221
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;8,9;0,0;-30,5987;-37,3766
Q;columna;261;column;70x70;Piso 1;3,56;0,0;-1515,0677;39,162;71,7703
Q;columna;261;column;70x70;Piso 1;3,56;3,56;-1515,0677;39,162;67,6478
Q;muro;446;wall;30x1000;Subterraneo;10,61478214566837;0,0;-70,4411;29,1476;206,6034
Q;muro;446;wall;30x1000;Subterraneo;10,61478214566837;10,6148;-70,4411;29,1476;102,7918
