nodoTag;caso;ux_m;uy_m;uz_m;ux_mm;uy_mm;uz_mm;u_planta_mm;rx_rad;ry_rad;rz_rad
439;G;-0,0003323429;-0,0003068708;-0,0010503165;-0,3323429;-0,3068708;-1,0503165;0,45235107060009266;-0,0003647819;-0,0004805733;1,8775e-06
440;G;-0,0003626649;-0,0003068708;-0,0012572163;-0,3626649;-0,3068708;-1,2572162999999998;0,47507422323743265;0,0005556964;-0,0005746985;1,8775e-06
441;G;-0,0005983701;-0,000537272;-0,0056391821;-0,5983701;-0,537272;-5,6391821;0,8041815582056144;-0,0007715737;-0,0001637097;4,5489e-06
442;G;-0,0006313498;-0,000537272;-0,0088963586;-0,6313498;-0,537272;-8,8963586;0,8290137344724995;3,38756e-05;-0,0001938464;4,5489e-06
443;G;-0,0006718351;-0,000537272;-0,003839235;-0,6718351;-0,537272;-3,839235;0,8602462458947496;0,000737403;0,000156534;4,5489e-06
444;G;-0,0005983701;-0,0004917828;-0,0035956794;-0,5983701;-0,4917828;-3,5956794000000003;0,7745302440510958;-0,0004101903;1,18957e-05;4,5489e-06
445;G;-0,0006313498;-0,0004917828;-0,0060980356;-0,6313498;-0,4917828;-6,0980356;0,8002830076515932;-0,0001563046;-7,018e-06;4,5489e-06
446;G;-0,0006718351;-0,0004917828;-0,0040515899;-0,6718351;-0,4917828;-4,051589900000001;0,8325939730552042;0,0005400051;2,87191e-05;4,5489e-06
447;G;-0,0005983701;-0,0004519798;-0,0023191943;-0,5983701;-0,4519798;-2,3191943;0,7498883358087722;-0,0003602696;1,77868e-05;4,5489e-06
448;G;-0,0006313498;-0,0004519798;-0,0037225664;-0,6313498;-0,4519798;-3,7225664000000003;0,7764588267049837;-0,000130593;-5,55662e-05;4,5489e-06
449;G;-0,0006718351;-0,0004519798;-0,0027254323;-0,6718351;-0,4519798;-2,7254323;0,8097210267740674;0,0005724022;3,85657e-05;4,5489e-06
450;G;-0,0005983701;-0,0004349214;-0,0011610051;-0,5983701;-0,43492139999999996;-1,1610051;0,7397319789977786;-0,0003868946;-0,0005011505;4,5489e-06
451;G;-0,0006718351;-0,0004349214;-0,0013906068;-0,6718351;-0,43492139999999996;-1,3906068;0,8003243253643925;0,000573829;-0,000594624;4,5489e-06
452;G;-0,0009772247;-0,0008385453;-0,005906258;-0,9772247000000001;-0,8385453;-5,906258;1,287682544124203;-0,0008704505;-0,0001403577;9,1279e-06
453;G;-0,0010434018;-0,0008385453;-0,0100330144;-1,0434018;-0,8385453;-10,0330144;1,338598347673913;-0,0001647882;-0,0002028352;9,1279e-06
454;G;-0,00112464;-0,0008385453;-0,0047553534;-1,12464;-0,8385453;-4,7553534;1,4028447347272934;0,0010285494;0,0001088159;9,1279e-06
455;G;-0,0009772247;-0,0007472664;-0,0034361601;-0,9772247000000001;-0,7472664;-3,4361601000000004;1,230193150224407;-0,0004738484;1,14602e-05;9,1279e-06
456;G;-0,0010434018;-0,0007472664;-0,0061083329;-1,0434018;-0,7472664;-6,1083329;1,2833917518872404;-0,0001828296;2,17725e-05;9,1279e-06
457;G;-0,00112464;-0,0007472664;-0,0038740898;-1,12464;-0,7472664;-3,8740898;1,3502674557912444;0,0006531259;2,19878e-05;9,1279e-06
458;G;-0,0009772247;-0,0006673974;-0,00330109;-0,9772247000000001;-0,6673974;-3,30109;1,1833796532883476;-0,0002920083;0,0002647237;9,1279e-06
459;G;-0,0010434018;-0,0006673974;-0,0041510653;-1,0434018;-0,6673974;-4,1510653;1,2385905722917483;-0,0001495608;-7,5118e-06;9,1279e-06
460;G;-0,00112464;-0,0006673974;-0,0039350278;-1,12464;-0,6673974;-3,9350278;1,3077593123838807;0,0005352614;0,0003386321;9,1279e-06
461;G;-0,0009772247;-0,0006331679;-0,0025859695;-0,9772247000000001;-0,6331679;-2,5859695;1,1644181825617892;-0,0002566839;-0,000633987;9,1279e-06
462;G;-0,00112464;-0,0006331679;-0,0031021305;-1,12464;-0,6331679;-3,1021305;1,2906264832206142;0,0004649503;-0,0007658803;9,1279e-06
463;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
464;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
465;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
466;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
487;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
488;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
489;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
