nodoTag;caso;ux_m;uy_m;uz_m;ux_mm;uy_mm;uz_mm;u_planta_mm;rx_rad;ry_rad;rz_rad
146;EY;0,0002979303;0,0261276478;0,0004473954;0,29793030000000004;26,127647800000002;0,4473954;26,129346375761163;-0,0006359131;3,7768e-06;3,63722e-05
147;EY;3,42322e-05;0,0261276478;-0,000121235;0,0342322;26,127647800000002;-0,121235;26,12767022534466;-0,0003068199;8,8818e-06;3,63722e-05
148;EY;-0,00028948;0,0261276478;-0,0003240502;-0,28948;26,127647800000002;-0,3240502;26,129251390563123;-0,0004695488;4,6143e-06;3,63722e-05
149;EY;0,0002979303;0,025945787;0,0005809007;0,29793030000000004;25,945787000000003;0,5809007;25,947497480740356;-0,0003072861;3,4164e-06;3,63722e-05
150;EY;3,42322e-05;0,025945787;-0,0001257629;0,0342322;25,945787000000003;-0,1257629;25,945809582529623;-7,19208e-05;-2,0722e-06;3,63722e-05
151;EY;-0,00028948;0,025945787;-0,0004472838;-0,28948;25,945787000000003;-0,4472838;25,94740182985127;-0,0002419104;-8,8907e-06;3,63722e-05
152;EY;0,0002979303;0,0257639263;0,0004675173;0,29793030000000004;25,7639263;0,4675173;25,765648853764382;-0,0005013119;-7,3377e-06;3,63722e-05
153;EY;3,42322e-05;0,0257639263;-0,000112605;0,0342322;25,7639263;-0,112605;25,763949041933547;-0,0003471885;4,5616e-06;3,63722e-05
154;EY;-0,00028948;0,0257639263;-0,0003539783;-0,28948;25,7639263;-0,3539783;25,765552527788564;-0,0004975949;1,49835e-05;3,63722e-05
155;EY;0,0002979303;0,0255820655;0,0004495356;0,29793030000000004;25,582065500000002;0,44953560000000004;25,583800298430027;-0,0005265267;7,0363e-06;3,63722e-05
156;EY;3,42322e-05;0,0255820655;-0,0001189047;0,0342322;25,582065500000002;-0,11890469999999999;25,582088403603937;-0,0003681758;5,9505e-06;3,63722e-05
157;EY;-0,00028948;0,0255820655;-0,0003254487;-0,28948;25,582065500000002;-0,32544870000000004;25,58370328777072;-0,0005311687;9,3725e-06;3,63722e-05
158;EY;0,0002979303;0,0254893165;0,0004904913;0,29793030000000004;25,4893165;0,4904913;25,491057610480393;-0,0005334886;2,04834e-05;3,63722e-05
159;EY;3,42322e-05;0,0254893165;-0,0001006995;0,0342322;25,4893165;-0,1006995;25,48933948694413;-0,0003744935;7,8431e-06;3,63722e-05
160;EY;-0,00028948;0,0254893165;-0,0003098179;-0,28948;25,4893165;-0,3098179;25,49096024687129;-0,0005329941;4,1378e-06;3,63722e-05
161;EY;0,0002979303;0,0254002047;0,0005496114;0,29793030000000004;25,400204700000003;0,5496114;25,401951918416824;-0,0003559046;2,31079e-05;3,63722e-05
162;EY;3,42322e-05;0,0254002047;-8,25289e-05;0,0342322;25,400204700000003;-0,0825289;25,40022776758939;-0,00013896;8,077e-06;3,63722e-05
163;EY;-0,00028948;0,0254002047;-0,0003092926;-0,28948;25,400204700000003;-0,30929260000000003;25,401854213271562;-0,0003431652;2,164e-07;3,63722e-05
164;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
165;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
166;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
167;EY;7,55011e-05;0,0034104252;3,3908e-06;0,0755011;3,4104252;0,0033908;3,4112608315542583;-0,000432994;-0,0001913127;0,000357356
168;EY;7,55011e-05;0,0034104252;3,3908e-06;0,0755011;3,4104252;0,0033908;3,4112608315542583;-6,5349e-06;-5,96955e-05;0,000357356
169;EY;-0,0002438051;0,0045543585;-2,29642e-05;-0,2438051;4,5543585;-0,0229642;4,56087955040563;-0,0016717395;-7,25034e-05;2,90513e-05
170;EY;0,000190797;0,01029013;5,8759e-06;0,19079700000000002;10,29013;0,0058759;10,291898702965794;-0,0004804608;-0,0001971696;0,0001889488
171;EY;0,000190797;0,01029013;5,8759e-06;0,19079700000000002;10,29013;0,0058759;10,291898702965794;-1,98877e-05;-4,93114e-05;0,0001889488
172;EY;-0,0006735533;0,010658768;-3,91423e-05;-0,6735533;10,658768;-0,0391423;10,680028526449025;-0,0018750546;-1,12643e-05;8,76688e-05
173;EY;0,0002307537;0,0175465717;7,474e-06;0,2307537;17,546571699999998;0,007474;17,5480889470422;-0,0004444559;-0,0001594591;0,0002752865
174;EY;0,0002307537;0,0175465717;7,474e-06;0,2307537;17,546571699999998;0,007474;17,5480889470422;-7,1925e-06;-3,8723e-05;0,0002752865
175;EY;-0,0005462522;0,0182944409;-4,89521e-05;-0,5462522;18,2944409;-0,0489521;18,302594332760528;-0,0019313791;8,44663e-05;6,32013e-05
176;EY;0,0002120545;0,0235503107;8,3564e-06;0,2120545;23,5503107;0,0083564;23,551265383785744;-0,0003120546;-0,0001500094;0,0001741138
177;EY;0,0002120545;0,0235503107;8,3564e-06;0,2120545;23,5503107;0,0083564;23,551265383785744;-3,45106e-05;-2,28666e-05;0,0001741138
178;EY;-0,0003579142;0,0240229871;-5,42938e-05;-0,3579142;24,0229871;-0,054293799999999996;24,02565320196993;-0,0011573181;4,71874e-05;4,0077e-05
179;EY;0,0001701522;0,027768103;9,1287e-06;0,1701522;27,768103;0,0091287;27,768624308556838;-0,0001903585;-0,0001192993;-0,0001157819
180;EY;0,0001701522;0,027768103;9,1287e-06;0,1701522;27,768103;0,0091287;27,768624308556838;-2,54187e-05;-1,43106e-05;-0,0001157819
181;EY;-0,00028948;0,0272479102;-5,63718e-05;-0,28948;27,2479102;-0,0563718;27,249447864822216;-0,0006902655;3,82158e-05;3,63722e-05
182;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
183;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
184;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
185;EY;0,000225373;0,0048448713;0,0002333509;0,22537300000000002;4,8448713;0,2333509;4,850110401082917;-0,001321255;8,99026e-05;2,90513e-05
