nodoTag;caso;aparece_en_tabla_Unity;Fx_kN;Fy_kN;Fz_kN;Mx_kNm;My_kNm;Mz_kNm
9083;Q;False;58,3652048356;0,7616090023;0,0;-2,7113280483;207,7801292148;-0,1085239874
9087;Q;False;85,8553877612;0,6218918845;-0,0;-2,213935109;305,6451804298;-0,1012651038
9091;Q;False;121,9488661558;1,0457472704;-0,0;-3,7228602825;434,1379635146;-0,1672161589
9095;Q;False;-1,9087459742;0,0531575769;0,0;-0,1650969611;11,1232822689;0,1141118241
9097;Q;False;15,1322972372;0,114388617;0,0;-0,4072234766;53,8709781646;0,0582025034
9099;Q;False;-1,9087459742;0,0583439814;0,0;-0,1681830885;11,1232822689;0,1141118241
9101;Q;False;51,8991591588;0,4940186048;-0,0;-1,7587062329;184,7610066052;0,2440897094
9103;Q;False;85,2742922895;1,632590847;0,0;-5,8120234153;303,5764805508;0,6910938708
9105;Q;False;123,6849273311;1,3312312467;-0,0;-4,7391832384;440,3183412988;0,5355216266
9107;Q;False;177,507105566;2,238993732;-0,0;-7,9708176859;631,9252958149;0,9074911568
